__label__noRel	Testing should be confidential	when I proposed my plan this past Tuesday, he or one of his spokesmen called it socialized medicine
__label__Support	How can we tell South Africa and the new Mandela government that democracy and private property and limited government and the rule of law and civility will work there if it's not working in our own backyard here at home or the South Bronx?	Civility, responsibility, racial reconciliation, healing the wounds of our country has to be one of the greatest, most singularly important goals for this country here on the edge of the 21st Century
__label__noRel	Mr. Ford doesn't seem to put into perspective the fact that when - when uh five hundred thousand more people are out of work than there were three months ago, while we have two and a half million more people out of work than were when he took office, that this touches human beings	In addition, the jobs would not be available right now
__label__noRel	our growth in national product last year was the lowest of any industrial nation in the world.	I think that's the only way that the United States is going to maintain its freedom.
__label__noRel	I've had to make thousands of decisions since I've been President, serving in the Oval Office	H. L. Mencken said that for every problem there's a simple answer.
__label__Support	what we have in Lebanon is something that the American people have seen	The Joint Chiefs urged the President not to put our troops in that barracks
__label__noRel	Small businessmen and women, African-American, Asian Americans, Latino Americans, female Americans would be able to start their businesses	Bob Dole is -- has suggested a commission
__label__Support	telling people what kind of health treatment they can receive	picking winners and losers
__label__noRel	put more pressure on the Afghan government to do what it needs to do, eliminate some of the drug trafficking that's funding terrorism	we made a bad judgment going into Iraq in the first place when we hadn't finished the job of hunting down bin Laden and crushing al Qaeda
__label__noRel	there will be a significant transition	stimulate investment and savings
__label__Support	If you earned between $20,000 and $40,000, you may have gotten about $1,000 between ten and twenty, close to a hundred dollars	if you made less than $10,000 with all the budget cuts that came down the line, you suffered a loss of $400
__label__Support	That is an outrage	Joe Lieberman and I gave them six months to clean up their act
__label__noRel	whether it's supporting democracy	It's meticulous
__label__Support	Let's look at the other side of the coin	Let's look at the vote on the Congo
__label__Support	500 economists, including seven Nobel prize winners and business periodicals like Business Week, and even Senator Dole's friends, Senator Warren Rudman, former Republican senator from New Hampshire, says it's not a practical program	It's a $550 billion tax scheme that will cause a big hole in the deficit which will raise interest rates and slow down the economy and cause people to pay more for home mortgages, car payments, credit card payments, college loans, and small business loans
__label__noRel	I think that a 4-billion dollar budget of state and federal funds is not all that small	We ought to have a strategy that will build the economic and industrial base
__label__Support	he's going to raise taxes	either he's going to break all these wonderful promises he's told you about or he's going to raise taxes
__label__Support	My balanced budget plan puts ten years on the Medicare	We ought to do that, then we can have a commission
__label__noRel	They're running millions of dollars of ads against me	I regret that
__label__noRel	I believe that when you know something's going wrong, you make it right	it's necessary work
__label__noRel	If you're a family of four in Massachusetts, making $50,000, you get a 50% cut in the federal income taxes you pay	All seniors will be covered
__label__noRel	Someone who will not veto a bill that has an investment tax credit, middle class tax relief, research and development tax credits as Mr. Bush has done	I don't think the Fed ought to be put under the Executive Branch
__label__noRel	as long as we put up with that, that's what you're going to get	it's all covered in my budget
__label__Support	the strategic beliefs that are necessary to protect this country in the world	we never change our beliefs
__label__noRel	a President must also have a vision of where this nation should go	This weakens the chances of civilization to survive
__label__Support	get middle-income Americans working again	I know how to fix this economy
__label__Support	We have came out of the recession	We are at peace
__label__noRel	I think that's where maybe the vice president and I begin to have some differences	we had no allies
__label__noRel	It will remain strong, so long as I'm the president	he said our troops would be occupiers in a bitterly hostile land
__label__noRel	He's had parts of it up there for years	Here goes Bill Clinton again: he says, well, term limits, that's an interesting idea, I think I might be in favor of that
__label__noRel	it's God's will, whatever happens	that's the way it's always been
__label__noRel	if we have a good balanced approach	end the credit crunch
__label__Support	we're going to go after all crime	that's what's gonna happen in the State of Texas
__label__Support	I'm convinced we'll do it	We need strong leadership
__label__noRel	I've met Mr. Gorbachev	I know this, we have serious financial problems in this country
__label__Support	I believe in competition	the idea came not even from Paul Ryan or -- or Senator Wyden, who's the co-author of the bill with -- with Paul Ryan in the Senate, but also it came from Bill -- Bill Clinton's chief of staff
__label__noRel	the other 99% have had an awful lot to do with building the surplus in our prosperity	tonight we're going to hear some phony numbers about what I think and what we ought to do
__label__Support	This is not just a women's issue	this is a family issue
__label__noRel	Tommy Franks did such a great job in planning the operations	They left the planning of the State Department in the State Department desks
__label__noRel	when the president of the United States is doing something that's right, something that is for the purpose of defending the security of this country against surprise attack, he can never express regrets or apologize to anybody, including Mr. Khrushchev	We all remember Pearl Harbor. We lost three thousand American lives
__label__noRel	the Iraqi government would not give that	we should have never been there
__label__noRel	There is not.	This is major, major progress
__label__noRel	they came in with one-party control	we're going in the wrong direction
__label__noRel	we were stymied until the families of 9/11 came	They would establish a base in Iraq
__label__noRel	Libya's 6 million population; Egypt, 80 million population	with Syria having Assad continuing to -- to kill, to murder his own people
__label__Support	the dictator Milosevic was hanging on	I invited the former prime minister of Russia to my house and took a risk in asking him to get personally involved, along with the head of Finland, to go to Belgrade and to take a set of proposals from the United States that would constitute basically a surrender by Serbia
__label__Support	we're not going into a recession in this country, economically	He feels that we're moving ahead
__label__noRel	it's very important that we not overstep our bounds	Let me tell you where the biggest discrimination comes. In public education when we just move children through the schools
__label__noRel	looks at the results	I put my career on the line
__label__Attack	I will not put myself in that position as a leader in this country	I think that if you were to take a look at the failures of this administration that would have to be number one
__label__Support	The only way to become less dependent on foreign sources of crude oil is to explore at home	we need an active exploration program in America
__label__noRel	we've got too many taxes on the American people	I think we can do better if we have the courage to change
__label__Support	I also suggested we ought to have an emergency excise tax on gasoline	Recycle those proceeds, then, back into the pockets of the American workers by reducing their tax payments. their Social Security tax payments by 50%
__label__Support	it doesn't satisfy them	I say that those of us who stand against surrender of territory - this or any others - in the face of blackmail, in the s- face of force by the Communists are standing for the course that will lead to peace
__label__Attack	If you don't support parents and you don't support children, how -- how can you say you support families?	the Bush administration has cut out -- has vetoed family leave, they have cut childhood immunization and college aid
__label__Support	to say to a mother with young children that if she gets a good job, her children are not going to lose their Medicaid benefits	Bill Clinton and I want to change that
__label__Support	I did not say that the Arizona law was a model for the nation in that aspect	I said that the E-Verify portion of the Arizona law
__label__noRel	something I would add today is I would tighten those sanctions	after we killed bin Laden I was at ground zero for a memorial and talked to a young women who was four years old when 9/11 happened
__label__Attack	we saved the taxpayers $16 billion	The first thing you did when you came into office was set up the stimulus package, said we've got a little pork we want to scatter around America, $16 billion
__label__noRel	We were not promoting democracy	Senator McCain, this is the guy who sang, "Bomb, bomb, bomb Iran," who called for the annihilation of North Korea
__label__noRel	I don't advertise it	I applaud them for it
__label__noRel	this is one where you can have an honest difference of opinion	I don't think it's enough to come before the American people who are watching us tonight and say, well, I haven't sorted it out
__label__Support	Somebody who sits in Washington, D.C., eighteen months after the Mayaguez incident, can be a very good grandstand quarterback	It seems to me that those who sit in Washington eighteen months after the incident are not the best judges of the decision-making process that had to be made by the National Security Council and by myself at the time the incident was developing in the Pacific
__label__Support	I think, will be very helpful in reversing the gold flow which you spoke about	The United States cannot continue to carry the major share of this burden by itself
__label__noRel	I'm an engineer, a Naval officer, a farmer, a businessman	Not a single young American is fighting or dying on any foreign soil tonight
__label__Support	we can create more jobs there in a hurry than any other place	Small business--you've got to have capital
__label__Support	I also share your belief that weapons that were designed for soldiers in war theaters don't belong on our streets	we've got more to do when it comes to enforcement
__label__Attack	America has not dictated to other nations	You said that on occasion America had dictated to other nations
__label__noRel	We'll learn from the past mistakes in this administration and other administrations	Israel is in jeopardy of course when we're dealing with Ahmadinejad as a leader of Iran
__label__noRel	Obamacare takes $716 billion from Medicare to spend on Obamacare	if you reform these programs for my generation, people 54 and below, you can guarantee they don't change for people in or near retirement
__label__Attack	It takes eight years, ten years, to do that	The Governor talks about limits, what we can't do, opposes these two modernization systems, talks now about well, we'll develop some new kind of a missile
__label__Support	it's time for us to say that Medicare is in pretty much the same condition that Social Security was	something is going to have to be done in the next several years to make it fiscally sound
__label__Support	Most people want to see their own doctor	They're going to see their own doctor when Bob Dole is president
__label__Support	I know what it is to have a dream and have a job and work hard to employ others and really to participate in the American dream	we want for you America's greatest gift. And that is opportunity. And then, peace
__label__noRel	I think it's disgraceful	The Trump International is way under budget and way ahead of schedule
__label__noRel	that runs counter to what the United States of America is all about at our core	there is other forms of racial profiling that goes on in America
__label__noRel	One thing that we agree about is the need to be offensive in going after terrorists	He's already done it for four years
__label__Support	I would like to point out that when we look at our programs in Latin America, we find that we have appropriated five times as much for Latin America as was appropriated by the previous Administration	We have moved in Latin America very effectively
__label__noRel	that's been the trend line	we've got to deal with cost
__label__Support	It's called "Stronger Together."	I have written a book about it
__label__Support	so much trust has broken down in the aftermath of the change of government	It is a very difficult environment
__label__noRel	They rewarded him by opening negotiations with Iran to transfer nuclear technology	we have a huge number of intercontinental ballistic missiles that are still in place in Russia
__label__noRel	we should have taken the oil	the oil was their primary source of income
__label__noRel	when we were the laughing stock around the world.	I flew a combat mission, my last one was over Manila.
__label__Support	I meet these people all the time, and they tell me what a difference having that insurance meant to them and their families.	But everybody else, the 170 million of us who get health insurance through our employers got big benefits.
__label__noRel	I'm in public service	I'm not questioning his patriotism
__label__noRel	They've never endorsed anybody before on immigration	We need to make it very clear—whether it's Russia, China, Iran or anybody else—the United States has much greater capacity
__label__Support	can't afford	We're not going to spend billions on MX's on railroad cars
__label__noRel	They're now going to have to be paying copays for basic checkups that can keep them healthier	What I do is the same way that Tip O'Neill and Ronald Reagan worked together some years ago
__label__Attack	I've told people as I've traveled around, all of you that got the tax cut he promised last time, vote for him in '96 and not many hands go up	the question is, would you buy a used election promise from my opponent.
__label__noRel	It wasn't just that this was the biggest driver of our federal deficit, our overall health care costs, but it was families who were worried about going bankrupt if they got sick, millions of families, all across the country	this is the reason why AARP has said that your plan would weaken Medicare substantially
__label__Support	I don't understand how we ended up invading a country that had nothing to do with 9/11, while Osama Bin Laden and Al Qaeda are setting up base camps and safe havens to train terrorists to attack us	There are some things I don't understand
__label__Support	In uh - January of 1975 he asked for a tax change: a $5.6 billion increase on low-and-middle-income private individuals, a six and a half billion dollar decrease on the corporations and the special interests	Mr. Ford is - is uh changing uh considerably his previous philosophy
__label__noRel	I think we should have come in much quicker with the humanitarian mission	NATO is going to be an important part of keeping the peace in the future
__label__Support	that every child has an opportunity to share in the American dream	We want to restore our public schools to the greatness they once represented
__label__Support	in what direction it ought to go	do we want this country to go that far left
__label__noRel	It's a humanitarian nightmare	We should have never let ISIS happen in the first place
__label__Support	we want to encourage that	when we think about immigration, we have to understand there are folks all around the world who still see America as the land of promise
__label__Support	Do you really think that our economy is healthy?	8 million Americans being out of work and the 50% unemployment among the youth of our country are acceptable?
__label__Support	I think the governor may not have heard what I said clearly	I do have mandatory testing
__label__noRel	Governor Bush is for vouchers	You can't solve a problem unless you diagnose it
__label__noRel	a United States senator, working to make this nation the fairest and the strongest and the most powerful in the world	it's simply that they will take America backwards
__label__noRel	We have to start treating teachers like the professionals that they are, and give them the respect and the kind of quality of life that will draw more people into teaching	It's just the right position to take
__label__noRel	we have excellent technical health care	And that's where the biggest problem is
__label__noRel	95 percent of the containers that come into the ports, right here in Florida, are not inspected	The biggest disaster that could happen is that we not succeed in Iraq
__label__Attack	They understand	why can’t they do something secretively, where they go in and they knock out the leadership
__label__Support	we were sure that we had the backing not only of the president and the secretary of state, but also of the Congress and the people	This is a responsibility of the president
__label__noRel	four years ago, when I was running for office, I was traveling around and having those same conversations that Governor Romney talks about	What I support is no change for current retirees and near-retirees to Medicare
__label__Support	I chose Senator Walter Mondale	I think this is indicative of what I would do
__label__Support	We ought to have universal pre-school	I want the federal government, consistent with local control and new accountability, to make improvement of our schools the number one priority
__label__noRel	One reason. Sooner or later you get 11 more boys that can run like the devil that weigh 250 pounds and they might win district	if you look at public education alone and you take into account the fact that we have more racial diversity and more poverty, it makes a big difference
__label__Support	There aren't enough rich people and small businesses to tax to pay for all their spending	we think that government taking 28 percent of a family and business's income is enough
__label__noRel	I doubt very much that Mr. Bush's selection for the Vice Presidency of the United States meets that test	I doubt very much
__label__noRel	there are a quarter of a million people still living there and being slaughtered	frankly, now we're going to do it right
__label__noRel	What's happening in the Middle East, there are developments around the world that are of real concern	Republicans and Democrats both love America
__label__noRel	I never said -- and I defy you to find where I said -- I gave an extensive environmental speech in April, and I said that we ought to have a goal of raising the fuel efficiency standards to 40 miles a gallon	This deal is terribly destructive to the US airline industry
__label__noRel	Mr. Bush says it's a hunky-dory deal	I took a state that was one of the poorest states in the country and had been for 153 years
__label__noRel	it's a case where we need to make sure we have an early warning system in place in places where there could be ethnic cleansing and genocide the way we saw it there in Rwanda	It needs to be available for emergency situations
__label__noRel	Keep America at work	With decent and affordable healthcare for all working families
__label__Support	It's a tragic moment	I would like to also extend sympathy to the families of those who have died and those who are still missing, and the injured
__label__Support	It's sort of like what Senator Dole did when he sponsored the Americans with Disabilities Act and said to certain stores	Affirmative Action is making that extra effort
__label__Support	that's what I've seen you do in this Administration	that's why we need campaign reform laws, and why I support them
__label__noRel	They don't want them to live next to toxic waste sites	We should use incentives, not always using uh sticks against business in America and the jobs it creates
__label__Support	You've missed a lot of key votes: on tax policy, on energy, on Medicare reform	Senator, frankly, you have a record in the Senate that's not very distinguished
__label__Support	Our challenge is to stop the financial bleeding	The basic problem with it, it doesn't balance the budget
__label__Support	shut down the Missile Man - the three - the Minuteman missile production line	taking that one no from the Soviet Union, we then went back into negotiations on their terms
__label__noRel	I voted for small-business tax cuts	Here's some help for you to go to a community college
__label__Support	We had the finest military in the world on the ground	the right thing to do
__label__Support	We can work with the entertainment industry to provide family hour	there's things that government can do.
__label__Support	I'm going to work with my friend, John McCain, to further campaign finance reform so we get these incredible amounts of money out of the system and open it up to average people	a genuine effort to try to restore America's hope and possibilities by bringing people together
__label__noRel	You're supposed to have a government that comes from you	the average family would save $1200 a year under the plan that I offered without any erosion in the quality of health care
__label__Support	not have them isolate the United States of America	I have a better plan to be able to fight the war on terror
__label__noRel	it was made by experts	We want to reduce the incidence of abortion on our society
__label__Support	I would pass a hate crimes law	I think we need tough enforcement of the civil rights laws
__label__Attack	It denigrates an alliance to say we're going alone, to discount their sacrifices	We're not going to go alone like this president did
__label__Support	that's fine	In the Medicare reform I talk about it says if you are a senior, you can stay in Medicare if you like it
__label__Attack	I'm going to be able to balance the budget	The president hasn't balanced a budget yet
__label__Support	Oil production is up	that's what we're going to do in the next four years
__label__noRel	I don't believe in quotas	he has to do it, that is the law
__label__noRel	your plans would add $5 trillion to the debt	it has not been easy
__label__Support	I hope I will do a good job as one who has had a relatively clean record with no conflicts of interest in his own public life, as has the Governor, to exhort young people to get into public service	we need the highest possible ethical standards
__label__Support	if it's rape, how do you draw moral judgments on that?	it's a personal and private, moral judgment
__label__Support	We've got to make sure that we're hardening our chemical sites	we still have a long way to go
__label__Support	If you're paying less than you paid a year or two ago, why, then, the strategy is working	I will fight for oil, coal and natural gas
__label__noRel	I've got five boys	we ended up moving from surplus to deficits
__label__noRel	I do not believe in cutting our military	The right answer for government is say, How do we make the private sector become more efficient and more effective? How do we get schools to be more competitive?
__label__noRel	the efficiency of it, the simplicity of it, the uh ability of people to understand their own government and control it was a - was a uh - substantial benefit derived from complete reorganization	We have twenty different agencies in the federal government responsible for the production, the regulation, the uh - information about energy, the conservation of energy, spread all over government
__label__noRel	we've made enormous progress drawing on ideas both from Democrats and Republicans that are already starting to show gains in some of the toughest to deal with schools	In spite of his policies
__label__noRel	President Lincoln opposed the war and there were people who said maybe he shouldn't be president	I don't look on it personally as relevant
__label__Attack	Family leave is important enough to be required	You said: we're for it as long as it's voluntary
__label__noRel	we'll get the rest of that tax relief	grow the economy
__label__Support	when it came time to authorize the use of force on the Senate floor	my opponent voted against the use of force
__label__noRel	I agree with my opponent that the biggest threat facing this country is weapons of mass destruction in the hands of a terrorist network	The president said he was going to build a true coalition, exhaust the remedies of the U.N. and go to war as a last resort
__label__Support	You can't do both	You have to choose
__label__noRel	if we've learned anything over the last eight years, it is that one of the most important things the government can do, the federal government, probably the most important, is to be fiscally responsible	The average American family is paying about 40% in federal, state and local taxes
__label__noRel	He needed to be disarmed	China has an interest in the outcome, too
__label__noRel	I believe we ought to have foreign aid	Middle East is a priority
__label__Support	we shifted people out of administrative jobs into the field to deliver better services	it was a tremendous shift from administrative jobs into the delivery of services
__label__noRel	those of us who are elected to positions of political leadership, Jim, have a special responsibility	in my state
__label__Support	he does not believe it	Senator Dole has consistently opposed Federal help to education
__label__noRel	We have to work with Nigeria	it was economic
__label__noRel	I think we ought to take a different tack	you're opposed to truancy
__label__Support	I think the general feeling is most of the banks are sound	It is sound
__label__noRel	It seems to me that we ought to support the California civil rights initiative	We've opened 260,000 new jobs in the military to women since I've been president
__label__Support	he recognizes that this is a central part of the war on terror	Prime Minister Allawi said they're coming across the border
__label__Support	you have a report, as we did recently, that six out of 10 CONUS Divisions in this country - Continental United States Army Divisions - simply could not pass a readiness test: that two out of three divisions that were to be allocated to the so-called Rapid Deployment Force could not meet a readiness test	in most cases, that failure to meet the test was because of a lack of manning requirements, an inability to fill many of the slots in those divisions
__label__noRel	young people are able to stay on their family plan	you point out, well, we're putting some back. We're going to give a better prescription program
__label__noRel	I want us to do more to support people who are struggling to balance family and work	we need new jobs, good jobs, with rising incomes
__label__Support	Social Security is stable until, as you pointed out, at least the third decade of the next century	I think what we'll plainly do is what we did in 1983 when Senator Dole served
__label__noRel	he first didn't even want to do that	I agree with him
__label__Support	I said we'd refocus attention on those who actually attacked us on 9/11	we have gone after Al Qaeda's leadership like never before
__label__noRel	We got to be right 100 percent of the time here at home	These terrorists are serious
__label__noRel	we are implementing this new legislation	Dana Crist of Lancaster said the day the tax bill is passed in Congress, she will open a new factory with 40 or 50 or 60 employees in Lancaster, Pennsylvania
__label__noRel	I think we ought to be pounding on the table every day	My school choice program, GI Bill for Kids, does not take public money and give it to private schools
__label__noRel	I make a mistake	he's going to sock it right to the middle class taxpayer and lower,
__label__noRel	It is not the kind of coalition we were described when we were talking about voting for this	I think it's worth it
__label__noRel	Even President Nixon, because he was a strong leader at least, worked with a Democratic Congress very well	There's some question about their morality
__label__noRel	Spent ten years in the House, eight of that in the leadership	In Congress he's been willing to take on the big interests and fight for average people
__label__noRel	for two years, this administration didn't talk at all to North Korea	That happened long before I arrived in Washington, D.C
__label__noRel	They've seen a lot of it during their administration	No Child Left Behind, they were for it; now they're against it
__label__noRel	as is Europe and the Far East	the extra strategy obvious
__label__noRel	We've got people watching tonight and listening tonight trying to find the truth	that's not reform
__label__Support	build the kinds of coalitions that will get something done, finally, in Washington	He will make a first rate president
__label__noRel	our challenge right now is the Iranians continue on the path to acquiring nuclear weapons	I believe in this country
__label__noRel	This is the biggest turnaround in the history of the country	the president's figures of $2.2 trillion just aren't accurate
__label__Support	In the case of Helsinki, thirty-five nations signed an agreement, including the secretary of state for the Vatican	I can't under any circumstances believe that the - His Holiness, the Pope would agree by signing that agreement that the thirty-five nations have turned over to the Warsaw Pact nations the domination of the - Eastern Europe
__label__Support	I'm going to stop other things	This is the approach we have to take to get America to a balanced budget
__label__Support	we have private vouchers so that individuals can choose for themselves where they live and we're selling these units to many of those who want to buy them	we're going to do a lot more of it, if we have the opportunity with the help of the American people
__label__Support	that means not running big deficits here and not squandering our surplus	I think that in the aftermath of the Cold War, it's time for us to do something very similar
__label__noRel	with Syria having Assad continuing to -- to kill, to murder his own people	A group of Arab scholars came together, organized by the U.N., to look at how we can help the -- the world reject these -- these terrorists
__label__Support	giving tax credits to individuals and businesses to conserve and use energy more efficiently	we would be further along in the implementation of that long-term strategy aimed at developing cleaner sources of energy
__label__Support	a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater	there have been too many instances during the course of my presidency, where I've had to comfort families who have lost somebody
__label__Support	the future is, who's going to be the next president of the US	we ought to look to the future
__label__noRel	eliminate our dependence on foreign oil	All three you mentioned are compelling national security requirements
__label__Support	Suggestion that somehow all of it is going for tax cuts isn't true	The fact is that the program that we put together we think is very responsible
__label__noRel	You have regulations on top of regulations, and new companies cannot form and old companies are going out of business	You are going to approve one of the biggest tax cuts in history
__label__noRel	They gave peace a chance	That commission did a study of the security arrangements around where the marines were sleeping and found that there was negligence, that they did not have proper gates up, proper precautions to stop those trucks from coming in
__label__Support	if he's so much for it	There's a bill on the floor of the United States Senate that he could have showed up and voted for
__label__Support	The US is doing better than a lot	we've got to do even better
__label__Support	they don't have to pay additional money, no additional $6,000	they'll have at least two plans that will be entirely at no cost to them
__label__noRel	the rescue plan has got to include that massive oversight that Americans are expecting and deserving	You know what I had to do in the state of Alaska?
__label__noRel	What happened was one of the Turkish, one of the Kurdish leaders invited him to go up north, but we felt since the whole world community had told him not to do it, that once he did it we had to do something	we ought to at least get the facts out here on the table so we can know where to go from here
__label__Support	put government back on the side of the American people	stop the greed and corruption on Wall Street
__label__Support	It's a subject I'm very familiar with	Many people are coming to this country for economic reasons
__label__noRel	they'd be there with us	I don't think we ought to join that
__label__Support	It's not doing the job though	We need flexibility in No Child Left Behind
__label__noRel	This nation of ours has got a solemn duty to defeat this ideology of hate	Ten million citizens have registered to vote
__label__Support	It's going to destabilize the Middle East	I said, it's a terrible and a stupid thing
__label__Support	They're -- they're still arming the man	we should not have waited to Russia should not have waited for Russia to give us the green light at the U.N. to do something about it
__label__Support	We're ahead of all of the Western European country	the United States' economic recovery from the recession of a year ago is well ahead of the economic recovery of any major free industrial nation in the world today
__label__noRel	we've seen a rapid expansion of our commitments around the world as troops have been sent hither and yon	I have enormous regard for the men and women of the U.S. military
__label__noRel	People in the coal industry feel like it's getting crushed by your policies	In spite of his policies
